sort,filename,caption_en,caption_zh,latitude,longitude,electoral_code,dc_winner,percentage_democracy
44,I__44.jpg,"Lai Chi Kok South, Sham Shui Po","荔枝角南, 深水埗区",22.322,114.14,F-14,🟡,62.72%
45,I__45.jpg,"Kowloon Bay, Kwun Tong","九龍灣, 观塘区",22.323,114.209,J-02,🟡,89.48%
46,I__46.jpg,"Ping Shek, Kwun Tong","坪石, 观塘区",22.332,114.211,J-05,🟡,51.14%
47,I__47.jpg,"Ching Fat, Kwai Tsing","青發, 葵青区",22.362,114.096,S-30,🟡,56.55%
48,I__48.jpg,"Chung Wan, Central & Western","中環, 中西區",22.283,114.159,A-01,🟡,55.09%
49,I__49.jpg,"Greenfield, Kwai Tsing","翠怡, 葵青区",22.352,114.109,S-24,🟡,52.52%
50,I__50.jpg,"Kwan Po, Sai Kung","軍寶, 西贡区",22.312,114.263,Q-27,🟡,62.40%
51,I__51.jpg,"Kai Hiu, Eastern","佳曉, 東區",22.261,114.248,C-35,🔵,49.28%
52,I__52.jpg,"Old Market & Serenity, Tai Po","舊墟及太湖, 大埔区",22.456,114.158,P-16,🟡,69.97%
53,I__53.jpg,"Lok Man, Kowloon City","樂民, 九龙城区",22.317,114.186,G-05,🔵,44.86%
54,I__54.jpg,"Chun Cheung, Kwun Tong","俊翔, 观塘区",22.299,114.242,J-22,🟡,62.21%
55,I__55.jpg,"Tung Chung North, Islands","東涌北, 离岛区",22.308,113.924,T-06,🟡,39.56%
56,I__56.jpg,"Kwai Chung Estate South, Kwai Tsing","葵涌邨南, 葵青区",22.367,114.129,S-06,🟡,55.60%
57,I__57.jpg,"Wu Kai Sha, Sha Tin","烏溪沙, 沙田区",22.432,114.242,R-29,🟡,64.14%
58,I__58.jpg,"Yau Ma Tei South, Yau Tsim Mong","油麻地南, 油尖旺区",22.311,114.166,E-04,🟡,55.10%
59,I__59.jpg,"Fu Cheong, Sham Shui Po","富昌, 深水埗区",22.33,114.155,F-09,🟡,51.10%
60,I__60.jpg,"Lok Wah South, Kwun Tong","樂華南, 观塘区",22.32,114.222,J-34,🟡,50.73%
61,I__61.jpg,"Lei Muk Shue East, Tsuen Wan","梨木樹東, 荃湾区",22.374,114.134,K-19,🟡,68.11%
62,I__62.jpg,"Yuet Wah, Kwun Tong","月華, 观塘区",22.314,114.227,J-32,🟡,53.73%
63,I__63.jpg,"Lung Ping & Sheung Pak Tin, Sham Shui Po","龍坪及上白田, 深水埗区",22.343,114.161,F-22,🟡,70.58%
64,I__64.jpg,"Yau Tong West, Kwun Tong","油塘西, 观塘区",22.301,114.23,J-26,🔵,47.89%
65,I__65.jpg,"Lai Kok, Sham Shui Po","麗閣, 深水埗区",22.332,114.158,F-10,🟡,54.07%
66,I__66.jpg,"San Hui, Tuen Mun","新墟, 屯门区",22.4,113.998,L-11,🟡,60.49%
67,I__67.jpg,"Choi Hung, Wong Tai Sin","彩虹, 黄大仙区",22.336,114.206,H-25,🟡,50.60%
68,I__68.jpg,"Fu Yan, Yuen Long","富恩, 元朗区",22.465,113.998,M-30,🟡,54.87%
69,I__69.jpg,"Kam Ying, Sha Tin","錦英, 沙田区",22.42,114.234,R-32,🟡,59.39%
70,I__70.jpg,"Po Lai, Sham Shui Po","寶麗, 深水埗区",22.336,114.158,F-01,🟡,63.96%
71,I__71.jpg,"On Ho, Kwai Tsing","安灝, 葵青区",22.361,114.107,S-21,🟡,59.57%
72,I__72.jpg,"Mong Kok West, Yau Tsim Mong","旺角西, 油尖旺区",22.317,114.168,E-06,🔵,45.95%
73,I__73.jpg,"Shek Lei North, Kwai Tsing","石籬北, 葵青区",22.366,114.14,S-12,🟡,62.36%
74,I__74.jpg,"Butterfly, Tuen Mun","蝴蝶, 屯门区",22.376,113.963,L-18,🟡,60.37%
75,I__75.jpg,"Sheung Shui Rural, North","上水鄉郊, 北区",22.502,114.102,N-11,🔵,43.44%
76,I__76.jpg,"Fei Tsui, Eastern","翡翠, 東區",22.263,114.223,C-14,🟡,56.70%
77,I__77.jpg,"Kai Yip, Kwun Tong","啟業, 观塘区",22.328,114.21,J-03,🟡,53.88%
78,I__78.jpg,"Kai Tak Central & South, Kowloon City","啟德中及南, 九龙城区",22.325,114.197,G-14,🔵,46.48%
79,I__79.jpg,"Wong Uk, Sha Tin","王屋, 沙田区",22.382,114.199,R-06,🟡,66.72%
80,I__80.jpg,"Mei Foo South, Sham Shui Po","美孚南, 深水埗区",22.334,114.142,F-15,🟡,56.33%
81,I__81.jpg,"Hiu Lai, Kwun Tong","曉麗, 观塘区",22.32,114.229,J-30,🟡,60.02%
82,I__82.jpg,"Tai Nan, Sham Shui Po","大南, 油尖旺区",22.325,114.166,E-12,🟡,58.32%
83,I__83.jpg,"Ap Lei Chau North, Southern","鴨脷洲北, 南区",22.244,114.156,D-03,🟡,61.73%
84,I__84.jpg,"Pat Heung North, Yuen Long","八鄉北, 元朗区",22.451,114.096,M-38,🔵,33.91%
85,I__85.jpg,"Mid Levels East, Central & Western","半山東, 中西區",22.279,114.154,A-02,🟡,57.28%
86,I__86.jpg,"Pek Long, Yuen Long","北朗, 元朗区",22.451,114.024,M-08,🟡,62.91%
87,I__87.jpg,"Mount Parker, Eastern","柏架山, 東區",22.27,114.21,C-15,🔵,48.32%
88,I__88.jpg,"Hang Hau West, Sai Kung","坑口西, 西贡区",22.333,114.235,Q-05,🟡,59.78%
89,I__89.jpg,"Tak Wah, Tsuen Wan","德華, 荃湾区",22.371,114.118,K-01,🟡,55.48%
90,I__90.jpg,"Po Nga, Tai Po","寶雅, 大埔区",22.452,114.157,P-14,🟡,66.86%
91,I__91.jpg,"Chung Pak, Yuen Long","頌栢, 元朗区",22.46,114.001,M-26,🟡,58.84%
92,I__92.jpg,"Po Tat, Kwun Tong","寶達, 观塘区",22.318,114.24,J-16,🟡,52.21%
93,I__93.jpg,"Tsz Wan East, Wong Tai Sin","慈雲東, 黄大仙区",22.347,114.204,H-19,🟡,56.51%
94,I__94.jpg,"Tai Fat Hau, Wan Chai","大佛口, 灣仔區",22.279,114.169,B-13,🟡,51.46%
95,I__95.jpg,"Chuk Yuen South, Wong Tai Sin","竹園南, 黄大仙区",22.344,114.19,H-14,🟡,59.84%
96,I__96.jpg,"Hong Lok Yuen, Tai Po","康樂園, 大埔区",22.473,114.177,P-17,🟡,57.72%
97,I__97.jpg,"Tsuen Wan West, Tsuen Wan","荃灣西, 荃湾区",22.373,114.105,K-05,🟡,61.85%
98,I__98.jpg,"Hanford, Tuen Mun","恒福, 屯门区",22.379,113.982,L-14,🟡,66.07%
99,I__99.jpg,"Wah Lai, Kwai Tsing","華麗, 葵青区",22.354,114.135,S-16,🟡,52.01%
100,I__100.jpg,"Whampoa West, Kowloon City","黃埔西, 九龙城区",22.303,114.187,G-20,🟡,61.84%
101,I__101.jpg,"Tsz Yau, Yuen Long","慈祐, 元朗区",22.453,114.008,M-21,🟡,64.08%
102,I__102.jpg,"Kwong Yuen, Sha Tin","廣源, 沙田区",22.381,114.215,R-41,🟡,57.74%
103,I__103.jpg,"Wai Ying, Kwai Tsing","偉盈, 葵青区",22.357,114.106,S-22,🟡,59.88%
104,I__104.jpg,"Sheung Lok, Kowloon City","常樂, 九龙城区",22.316,114.183,G-06,🟡,57.63%
105,I__105.jpg,"Hip Hong, Kwun Tong","協康, 观塘区",22.318,114.225,J-33,🟡,52.86%
106,I__106.jpg,"Chi Fu, Southern","置富, 南区",22.259,114.14,D-12,🟡,61%
107,I__107.jpg,"Lai King, Kwai Tsing","荔景, 葵青区",22.323,114.128,S-19,🟡,51.51%
108,I__108.jpg,"Lam Tsuen Valley, Tai Po","林村谷, 大埔区",22.446,114.135,P-13,🟡,52.05%
109,I__109.jpg,"Peak, Central & Western","山頂, 中西區",22.267,114.152,A-04,🔵,31.35%
110,I__110.jpg,"Wan Po South, Sai Kung","環保南, 西贡区",22.285,114.268,Q-29,⚪,47.23%
111,I__111.jpg,"Sha Ta, North","沙打, 北区",22.509,114.224,N-16,🔵,41.63%
112,I__112.jpg,"Fort Street, Eastern","堡壘, 東區",22.29,114.198,C-20,🟡,50.61%
113,I__113.jpg,"King Yee, Eastern","景怡, 東區",22.26,114.254,C-12,🟡,57.14%
114,I__114.jpg,"Causeway Bay, Wan Chai","銅鑼灣, 灣仔區",22.28,114.185,B-04,🟡,54.96%
115,I__115.jpg,"Ma Tau Wai, Kowloon City","馬頭圍, 九龙城区",22.325,114.187,G-01,🟡,52.84%
116,I__116.jpg,"Wah Fu South, Southern","華富南, 南区",22.251,114.135,D-09,🟡,55.74%
117,I__117.jpg,"Allway, Tsuen Wan","荃威, 荃湾区",22.394,114.117,K-15,🟡,56.32%
118,I__118.jpg,"Kwun Tong Central, Kwun Tong","觀塘中心, 观塘区",22.313,114.219,J-01,🟡,56.05%
119,I__119.jpg,"Oi Kwan, Wan Chai","愛群, 灣仔區",22.278,114.178,B-02,🟡,57.45%
120,I__120.jpg,"Oi Man, Kowloon City","愛民, 九龙城区",22.312,114.181,G-24,🟡,53.30%
121,I__121.jpg,"Lok Wah North, Kwun Tong","樂華北, 观塘区",22.321,114.221,J-35,🟡,60.73%
122,I__122.jpg,"Sheung Tak, Sai Kung","尚德, 西贡区",22.311,114.258,Q-14,🟡,61.29%
123,I__123.jpg,"Choi Kin, Sai Kung","彩健, 西贡区",22.307,114.254,Q-06,🟡,60.39%
124,I__124.jpg,"Tsuen Wan Centre, Tsuen Wan","荃灣中心, 荃湾区",22.377,114.108,K-07,🟡,61.06%
125,I__125.jpg,"Nam On, Sai Kung","南安, 西贡区",22.316,114.262,Q-26,🟡,67.92%
126,I__126.jpg,"Sai Kung Islands, Sai Kung","西貢離島, 西贡区",22.392,114.343,Q-03,🟡,57.81%
127,I__127.jpg,"Jardine's Lookout, Wan Chai","渣甸山, 灣仔區",22.269,114.197,B-08,🔵,41.44%
128,I__128.jpg,"Kowloon Tong, Kowloon City","九龍塘, 九龙城区",22.339,114.18,G-10,🔵,46.51%
129,I__129.jpg,"Leung King, Tuen Mun","良景, 屯门区",22.407,113.963,L-23,🟡,61.87%
130,I__130.jpg,"Tsim Sha Tsui West, Yau Tsim Mong","尖沙咀西, 油尖旺区",22.298,114.17,E-01,🟡,56.65%
131,I__131.jpg,"Hong King, Sai Kung","康景, 西贡区",22.32,114.254,Q-16,🟡,65.36%
132,I__132.jpg,"Centre Street, Central & Western","正街, 中西區",22.286,114.143,A-14,🟡,58.90%
133,I__133.jpg,"Prime View, Tuen Mun","景峰, 屯门区",22.408,113.981,L-31,🟡,67.63%
134,I__134.jpg,"Tai Kok Tsui South, Yau Tsim Mong","大角咀南, 油尖旺区",22.321,114.163,E-10,🟡,56%
135,I__135.jpg,"So Kwun Wat, Tuen Mun","掃管笏, 屯门区",22.378,114.005,L-12,🟡,53.23%
136,I__136.jpg,"Braemar Hill, Eastern","寶馬山, 東區",22.282,114.2,C-16,🔵,44.77%
137,I__137.jpg,"Tai Wo, Tai Po","太和, 大埔区",22.452,114.162,P-15,🟡,58.56%
138,I__138.jpg,"Ching On, Wong Tai Sin","正安, 黄大仙区",22.353,114.212,H-18,🟡,69.41%
139,I__139.jpg,"Tin Sum, Sha Tin","田心, 沙田区",22.369,114.18,R-18,🟡,52.48%
140,I__140.jpg,"Sha Tin Town Centre, Sha Tin","沙田市中心, 沙田区",22.378,114.186,R-01,🟡,67.98%
141,I__141.jpg,"Mong Kok South, Yau Tsim Mong","旺角南, 油尖旺区",22.319,114.171,E-15,🟡,53.09%
142,I__142.jpg,"Kwai Shing East Estate, Kwai Tsing","葵盛東邨, 葵青区",22.364,114.127,S-03,🟡,62.63%
143,I__143.jpg,"Jat Chuen, Sha Tin","乙泉, 沙田区",22.371,114.193,R-10,🟡,66.39%
144,I__144.jpg,"Wang Yat, Yuen Long","宏逸, 元朗区",22.47,114.005,M-33,🟡,62.16%
145,I__145.jpg,"Nam Cheong West, Sham Shui Po","南昌西, 深水埗区",22.327,114.159,F-08,🟡,63.27%
146,I__146.jpg,"Broadwood, Wan Chai","樂活, 灣仔區",22.272,114.187,B-09,🔵,47.08%
147,I__147.jpg,"Kwong Ming, Sai Kung","廣明, 西贡区",22.313,114.257,Q-15,🟡,56.80%
148,I__148.jpg,"On Lee, Kwun Tong","安利, 观塘区",22.329,114.227,J-10,🟡,57.69%
149,I__149.jpg,"Tin Ping East, North","天平東, 北区",22.504,114.141,N-17,🟡,63.07%
150,I__150.jpg,"Cheung Sha Wan, Sham Shui Po","長沙灣, 深水埗区",22.335,114.161,F-02,🟡,61.04%
151,I__151.jpg,"Kornhill, Eastern","康怡, 東區",22.282,114.216,C-26,🟡,59.12%
152,I__152.jpg,"Nam Cheong South, Sham Shui Po","南昌南, 深水埗区",22.328,114.165,F-06,🟡,57.37%
153,I__153.jpg,"Clague Garden, Tsuen Wan","祈德尊, 荃湾区",22.371,114.111,K-06,🟡,50.61%
154,I__154.jpg,"Mun Yat, Islands","滿逸, 离岛区",22.281,113.936,T-02,🟡,67.62%
155,I__155.jpg,"Fung Tak, Wong Tai Sin","鳳德, 黄大仙区",22.344,114.201,H-05,🟡,56.13%
156,I__156.jpg,"On Tat, Kwun Tong","安達, 观塘区",22.32,114.236,J-14,🔵,40.06%
157,I__157.jpg,"Shek Kip Mei, Sham Shui Po","石硤尾, 深水埗区",22.333,114.166,F-04,🟡,50.08%
158,I__158.jpg,"Lamma & Po Toi, Islands","南丫及蒲台, 离岛区",22.194,114.131,T-09,🔵,49.22%
159,I__159.jpg,"Sui Wo, Sha Tin","穗禾, 沙田区",22.397,114.181,R-22,🟡,58.47%
160,I__160.jpg,"On Tai, Sha Tin","鞍泰, 沙田区",22.409,114.221,R-36,🟡,58.57%
161,I__161.jpg,"Wah Fu North, Southern","華富北, 南区",22.254,114.137,D-10,🟡,61.32%
162,I__162.jpg,"Di Yee, Sha Tin","帝怡, 沙田区",22.387,114.207,R-38,🔵,56.48%
163,I__163.jpg,"Choi Wan South, Wong Tai Sin","彩雲南, 黄大仙区",22.334,114.217,H-22,🟡,58.01%
164,I__164.jpg,"Wah Kwai, Southern","華貴, 南区",22.25,114.138,D-08,🟡,59.34%
165,I__165.jpg,"Tsing Yi South, Kwai Tsing","青衣南, 葵青区",22.34,114.1,S-28,🟡,54.46%
166,I__166.jpg,"Kin Sang, Tuen Mun","建生, 屯门区",22.407,113.969,L-26,🟡,60.44%
167,I__167.jpg,"Sheung Wan, Central & Western","上環, 中西區",22.288,114.148,A-12,🟡,68.15%
168,I__168.jpg,"Yan Tin, Tuen Mun","欣田, 屯门区",22.417,113.975,L-28,🔵,39.86%
169,I__169.jpg,"Lok Hong, Eastern","樂康, 東區",22.271,114.236,C-32,🟡,56%
170,I__170.jpg,"Victoria Park, Wan Chai","維園, 灣仔區",22.284,114.19,B-05,🟡,54.07%
171,I__171.jpg,"Siu Sai Wan, Eastern","小西灣, 東區",22.264,114.248,C-11,🟡,53.67%
172,I__172.jpg,"University, Central & Western","大學, 中西區",22.279,114.138,A-05,🟡,51.35%
173,I__173.jpg,"Yau Oi North, Tuen Mun","友愛北, 屯门区",22.386,113.971,L-06,🟡,63.47%
174,I__174.jpg,"Shek Lei South, Kwai Tsing","石籬南, 葵青区",22.363,114.141,S-13,🟡,58.93%
175,I__175.jpg,"A Kung Ngam, Eastern","阿公岩, 東區",22.279,114.233,C-07,🟡,52.71%
176,I__176.jpg,"Wah Do, North","華都, 北区",22.486,114.142,N-04,🟡,58.68%
177,I__177.jpg,"Fung Nin, Yuen Long","豐年, 元朗区",22.442,114.026,M-01,🟡,53.65%
178,I__178.jpg,"Tin Shing, Yuen Long","天盛, 元朗区",22.448,113.999,M-18,🟡,54.18%
179,I__179.jpg,"Kai Tak North, Kowloon City","啟德北, 九龙城区",22.333,114.203,G-12,🔵,45.52%
180,I__180.jpg,"Yau Oi South, Tuen Mun","友愛南, 屯门区",22.387,113.974,L-05,🟡,63.44%
181,I__181.jpg,"To Tai, Kwun Tong","淘大, 观塘区",22.325,114.216,J-40,🟡,62.16%
182,I__182.jpg,"Kam Ping, Eastern","錦屏, 東區",22.29,114.2,C-21,🟡,50.70%
183,I__183.jpg,"Yat Chak, Yuen Long","逸澤, 元朗区",22.468,113.998,M-31,🟡,58.14%
184,I__184.jpg,"Aldrich Bay, Eastern","愛秩序灣, 東區",22.282,114.227,C-05,🟡,54.78%
185,I__185.jpg,"Ching King, Yuen Long","晴景, 元朗区",22.464,114.005,M-29,🟡,54.70%
186,I__186.jpg,"Chi Choi, Wong Tai Sin","池彩, 黄大仙区",22.337,114.209,H-24,🟡,58.67%
187,I__187.jpg,"South Horizons East, Southern","海怡東, 南区",22.24,114.151,D-06,🟡,55.89%
188,I__188.jpg,"Lai Wah, Kwai Tsing","荔華, 葵青区",22.347,114.14,S-17,🟡,56.18%
189,I__189.jpg,"Pak Sha Wan, Sai Kung","白沙灣, 西贡区",22.359,114.236,Q-02,🟡,57.08%
190,I__190.jpg,"Water Street, Central & Western","水街, 中西區",22.285,114.139,A-15,🟡,59.62%
191,I__191.jpg,"Upper Tai Wo Hau, Kwai Tsing","上大窩口, 葵青区",22.367,114.123,S-04,🟡,57.21%
192,I__192.jpg,"Po Tin, Tuen Mun","寶田, 屯门区",22.42,113.954,L-25,🔵,42.39%
193,I__193.jpg,"Tai Hang, Wan Chai","大坑, 灣仔區",22.28,114.19,B-07,🟡,62.02%
194,I__194.jpg,"Shap Pat Heung East, Yuen Long","十八鄉東, 元朗区",22.426,114.044,M-11,🟡,48.04%
195,I__195.jpg,"King Fu, Wong Tai Sin","瓊富, 黄大仙区",22.345,114.215,H-20,🟡,58.75%
196,I__196.jpg,"Lower Yiu Tung, Eastern","下耀東, 東區",22.278,114.226,C-29,🟡,60.55%
197,I__197.jpg,"Tai Koo Shing East, Eastern","太古城東, 東區",22.287,114.22,C-02,🟡,60.95%
198,I__198.jpg,"San Fu, Tai Po","新富, 大埔区",22.446,114.161,P-12,🟡,56.43%
199,I__199.jpg,"Tung Chung South, Islands","東涌南, 离岛区",22.29,113.94,T-04,🟡,56.49%
200,I__200.jpg,"Stubbs Road, Wan Chai","司徒拔道, 灣仔區",22.263,114.178,B-11,🔵,45.47%
201,I__201.jpg,"Tai Kok Tsui North, Yau Tsim Mong","大角咀北, 油尖旺区",22.324,114.162,E-11,🟡,52.16%
202,I__202.jpg,"Siu Hong, Tuen Mun","兆康, 屯门区",22.408,113.974,L-27,🟡,56.28%
203,I__203.jpg,"Mei Foo Central, Sham Shui Po","美孚中, 深水埗区",22.336,114.138,F-16,🟡,60.14%
204,I__204.jpg,"Provident, ","和富, 東區",22.293,114.2,C-19,🔵,48.94%
205,I__205.jpg,"Upper Ngau Tau Kok Estate, Kwun Tong","牛頭角上邨, 观塘区",22.319,114.217,J-38,🔵,48.79%
206,I__206.jpg,"Sai Ying Pun, Central & Western","西營盤, 中西區",22.289,114.142,A-11,🟡,55.39%
207,I__207.jpg,"Wai Yan, Sai Kung","慧茵, 西贡区",22.323,114.255,Q-20,🟡,61.24%
208,I__208.jpg,"Shek Yue, Southern","石漁, 南区",22.25,114.158,D-14,🟡,56.21%
209,I__209.jpg,"Hang Hau East, Sai Kung","坑口東, 西贡区",22.295,114.286,Q-04,🟡,49.57%
210,I__210.jpg,"Cheung On, Kwai Tsing","長安, 葵青区",22.361,114.102,S-31,🟡,53.14%
211,I__211.jpg,"Kornhill Garden, Eastern","康山, 東區",22.284,114.216,C-27,🟡,59.24%
212,I__212.jpg,"Pokfulam, Southern","薄扶林, 南区",22.267,114.128,D-11,🟡,55.97%
213,I__213.jpg,"Lower Tai Wo Hau, Kwai Tsing","下大窩口, 葵青区",22.369,114.124,S-05,🟡,69.73%
214,I__214.jpg,"Ma On Shan Town Centre, Sha Tin","馬鞍山市中心, 沙田区",22.426,114.231,R-28,🟡,63.12%
215,I__215.jpg,"Fu Sun, Tuen Mun","富新, 屯门区",22.381,113.966,L-19,🟡,60.39%
216,I__216.jpg,"Chun Fung, Sha Tin","秦豐, 沙田区",22.374,114.187,R-11,🟡,68.10%
217,I__217.jpg,"Jordan North, Yau Tsim Mong","佐敦北, 油尖旺区",22.307,114.171,E-18,🟡,56.02%
218,I__218.jpg,"Shan King, Tuen Mun","山景, 屯门区",22.397,113.965,L-08,🟡,64.31%
219,I__219.jpg,"Fung Wong, Wong Tai Sin","鳳凰, 黄大仙区",22.344,114.197,H-04,🟡,61.15%
220,I__220.jpg,"Shun Tin, Kwun Tong","順天, 观塘区",22.327,114.223,J-08,🟡,62.03%
221,I__221.jpg,"Chui Tin, Sha Tin","翠田, 沙田区",22.358,114.179,R-13,🟡,64.97%
222,I__222.jpg,"Ap Lei Chau Estate, Southern","鴨脷洲邨, 南区",22.245,114.151,D-02,🔵,48.57%
223,I__223.jpg,"Shaukeiwan, Eastern","筲箕灣, 東區",22.279,114.229,C-06,🟡,62.82%
224,I__224.jpg,"Tsui Lam, Sai Kung","翠林, 西贡区",22.321,114.249,Q-17,🟡,55.47%
225,I__225.jpg,"Hoi Nam, Sha Tin","海嵐, 沙田区",22.415,114.223,R-25,🟡,65.15%
226,I__226.jpg,"Siu Tsui, Tuen Mun","兆翠, 屯门区",22.383,113.974,L-04,🟡,57.73%
227,I__227.jpg,"Lai Ching, Kwun Tong","麗晶, 观塘区",22.33,114.206,J-04,🟡,68.26%
228,I__228.jpg,"Lai Chi Kok North, Sham Shui Po","荔枝角北, 深水埗区",22.338,114.149,F-18,🟡,66.62%
229,I__229.jpg,"Chun Ma, Sha Tin","駿馬, 沙田区",22.415,114.209,R-24,🟡,50.43%
230,I__230.jpg,"Shing Hong, Kwai Tsing","盛康, 葵青区",22.35,114.101,S-27,🔵,49.18%
231,I__231.jpg,"Mong Kok North, Yau Tsim Mong","旺角北, 油尖旺区",22.322,114.167,E-13,🟡,51%
232,I__232.jpg,"Yau Chui, Kwun Tong","油翠, 观塘区",22.295,114.239,J-24,🔵,43.26%
233,I__233.jpg,"Ho Man Tin, Kowloon City","何文田, 九龙城区",22.319,114.179,G-07,🟡,51.41%
234,I__234.jpg,"Tsui Chuk & Pang Ching, Wong Tai Sin","翠竹及鵬程, 黄大仙区",22.347,114.186,H-13,🟡,48.65%
235,I__235.jpg,"Kai Tak East, Kowloon City","啟德東, 九龙城区",22.331,114.203,G-13,🔵,41.02%
236,I__236.jpg,"Shui Wah, Yuen Long","瑞華, 元朗区",22.459,113.996,M-24,🟡,58.62%
237,I__237.jpg,"East Tsim Sha Tsui & King's Park, Yau Tsim Mong","尖東及京士柏, 油尖旺区",22.3,114.183,E-17,🟡,52.69%
